Sepal_Length;Sepal_Width;Petal_Length;Petal_Width;Species;sostiapantisi;apantisi
5.1;3.5;1.4;0.2;experts;1550;1000
4.9;3;1.4;0.2;experts;1550;1000
4.7;3.2;1.3;0.2;experts;1550;2000
4.6;3.1;1.5;0.2;experts;1550;2000
5;3.6;1.4;0.2;experts;1550;2000
5.4;3.9;1.7;0.4;experts;1550;2000
4.6;3.4;1.4;0.3;experts;1550;2000
5;3.4;1.5;0.2;experts;1550;1100
4.4;2.9;1.4;0.2;experts;1550;1200
4.9;3.1;1.5;0.1;experts;1550;1200
5.4;3.7;1.5;0.2;experts;1550;1800
4.8;3.4;1.6;0.2;experts;1550;1400
4.8;3;1.4;0.1;experts;1550;1500
4.3;3;1.1;0.1;experts;1550;1500
5.8;4;1.2;0.2;experts;1550;1500
5.7;4.4;1.5;0.4;experts;1550;1500
5.4;3.9;1.3;0.4;experts;1550;1500
5.1;3.5;1.4;0.3;experts;1550;1500
5.7;3.8;1.7;0.3;experts;1550;1500
5.1;3.8;1.5;0.3;experts;1550;1500
5.4;3.4;1.7;0.2;non-experts;1550;12050
5.1;3.7;1.5;0.4;non-experts;1550;0
4.6;3.6;1;0.2;non-experts;1550;0
5.1;3.3;1.7;0.5;non-experts;1550;0
4.8;3.4;1.9;0.2;non-experts;1550;0
5;3;1.6;0.2;non-experts;1550;500
5;3.4;1.6;0.4;non-experts;1550;1000
5.2;3.5;1.5;0.2;non-experts;1550;1000
5.2;3.4;1.4;0.2;non-experts;1550;1000
4.7;3.2;1.6;0.2;non-experts;1550;2000
4.8;3.1;1.6;0.2;non-experts;1550;2000
5.4;3.4;1.5;0.4;non-experts;1550;2000
5.2;4.1;1.5;0.1;non-experts;1550;1800
5.5;4.2;1.4;0.2;non-experts;1550;1700
4.9;3.1;1.5;0.2;non-experts;1550;1500
5;3.2;1.2;0.2;non-experts;1550;1500
5.5;3.5;1.3;0.2;non-experts;1550;1500
4.9;3.6;1.4;0.1;non-experts;1550;1500
4.4;3;1.3;0.2;non-experts;1550;1500
5.1;3.4;1.5;0.2;non-experts;1550;1500
